timestamp,value,value_classification
2023-12-04 00:00:00,63.714285714285715,Greed
2023-12-05 00:00:00,65.14285714285714,Greed
2023-12-06 00:00:00,63.97142857142857,Greed
2023-12-07 00:00:00,66.14285714285715,Greed
2023-12-08 00:00:00,65.94285714285715,Greed
2023-12-11 00:00:00,67.28571428571429,Greed
2023-12-12 00:00:00,67.88571428571429,Greed
2023-12-13 00:00:00,67.54285714285714,Greed
2023-12-14 00:00:00,70.54285714285716,Greed
2023-12-15 00:00:00,69.45714285714287,Greed
2023-12-18 00:00:00,70.48571428571428,Greed
2023-12-19 00:00:00,82.97142857142858,Extreme Greed
2023-12-20 00:00:00,75.57142857142857,Extreme Greed
2023-12-21 00:00:00,77.0,Extreme Greed
2023-12-22 00:00:00,79.74285714285715,Extreme Greed
2023-12-26 00:00:00,81.94285714285716,Extreme Greed
2023-12-27 00:00:00,81.17142857142858,Extreme Greed
2023-12-28 00:00:00,81.25714285714287,Extreme Greed
2023-12-29 00:00:00,80.71428571428571,Extreme Greed
2024-01-02 00:00:00,79.71428571428571,Extreme Greed
2024-01-03 00:00:00,76.71428571428571,Extreme Greed
2024-01-04 00:00:00,78.68571428571428,Extreme Greed
2024-01-05 00:00:00,75.77142857142859,Extreme Greed
2024-01-08 00:00:00,76.17142857142856,Extreme Greed
2024-01-09 00:00:00,75.68571428571428,Extreme Greed
2024-01-10 00:00:00,76.37142857142858,Extreme Greed
2024-01-11 00:00:00,74.65714285714286,Greed
2024-01-12 00:00:00,73.08571428571429,Greed
2024-01-16 00:00:00,72.28571428571429,Greed
2024-01-17 00:00:00,57.21428571428572,Greed
2024-01-18 00:00:00,66.45714285714286,Greed
2024-01-19 00:00:00,72.82857142857144,Greed
2024-01-22 00:00:00,72.85714285714286,Greed
2024-01-23 00:00:00,70.25714285714287,Greed
2024-01-24 00:00:00,72.48571428571428,Greed
2024-01-25 00:00:00,73.22857142857143,Greed
2024-01-26 00:00:00,73.79999999999998,Greed
2024-01-29 00:00:00,74.11428571428573,Greed
2024-01-30 00:00:00,74.22857142857143,Greed
2024-01-31 00:00:00,64.11428571428573,Greed
2024-02-01 00:00:00,72.34285714285714,Greed
2024-02-02 00:00:00,74.60000000000001,Greed
2024-02-05 00:00:00,73.31428571428572,Greed
2024-02-06 00:00:00,73.20000000000002,Greed
2024-02-07 00:00:00,73.77142857142857,Greed
2024-02-08 00:00:00,74.60000000000001,Greed
2024-02-09 00:00:00,75.42857142857143,Extreme Greed
2024-02-12 00:00:00,75.82857142857144,Extreme Greed
2024-02-13 00:00:00,66.74285714285715,Greed
2024-02-14 00:00:00,67.51428571428572,Greed
2024-02-15 00:00:00,73.85714285714286,Greed
2024-02-16 00:00:00,73.48571428571428,Greed
2024-02-20 00:00:00,63.74285714285715,Greed
2024-02-21 00:00:00,63.7,Greed
2024-02-22 00:00:00,73.94285714285715,Greed
2024-02-23 00:00:00,73.34285714285714,Greed
2024-02-26 00:00:00,71.91428571428573,Greed
2024-02-27 00:00:00,75.77142857142859,Extreme Greed
2024-02-28 00:00:00,76.77142857142859,Extreme Greed
2024-02-29 00:00:00,77.45714285714287,Extreme Greed
2024-03-01 00:00:00,76.82857142857142,Extreme Greed
2024-03-04 00:00:00,79.22857142857143,Extreme Greed
2024-03-05 00:00:00,76.11428571428571,Extreme Greed
2024-03-06 00:00:00,72.54285714285714,Greed
2024-03-07 00:00:00,73.85714285714286,Greed
2024-03-08 00:00:00,70.02857142857144,Greed
2024-03-11 00:00:00,62.771428571428565,Greed
2024-03-12 00:00:00,72.2,Greed
2024-03-13 00:00:00,71.77142857142857,Greed
2024-03-14 00:00:00,70.4,Greed
2024-03-15 00:00:00,68.62857142857143,Greed
2024-03-18 00:00:00,70.74285714285715,Greed
2024-03-19 00:00:00,70.85714285714286,Greed
2024-03-20 00:00:00,69.62857142857145,Greed
2024-03-21 00:00:00,71.37142857142858,Greed
2024-03-22 00:00:00,69.51428571428572,Greed
2024-03-25 00:00:00,67.42857142857143,Greed
2024-03-26 00:00:00,67.91428571428573,Greed
2024-03-27 00:00:00,69.77142857142859,Greed
2024-03-28 00:00:00,68.77142857142857,Greed
2024-04-01 00:00:00,71.25714285714287,Greed
2024-04-02 00:00:00,71.14285714285715,Greed
2024-04-03 00:00:00,69.4,Greed
2024-04-04 00:00:00,53.8,Greed
2024-04-05 00:00:00,58.10000000000001,Greed
2024-04-08 00:00:00,64.02857142857144,Greed
2024-04-09 00:00:00,59.62857142857144,Greed
2024-04-10 00:00:00,49.67142857142858,Fear
2024-04-11 00:00:00,56.65714285714286,Greed
2024-04-12 00:00:00,45.01428571428572,Fear
2024-04-15 00:00:00,38.4,Fear
2024-04-16 00:00:00,35.11428571428572,Fear
2024-04-17 00:00:00,31.157142857142865,Fear
2024-04-18 00:00:00,30.40000000000001,Fear
2024-04-19 00:00:00,27.671428571428574,Fear
2024-04-22 00:00:00,34.17142857142857,Fear
2024-04-23 00:00:00,36.57142857142857,Fear
2024-04-24 00:00:00,37.48571428571429,Fear
2024-04-25 00:00:00,39.08571428571429,Fear
2024-04-26 00:00:00,40.51428571428572,Fear
2024-04-29 00:00:00,42.42857142857143,Fear
2024-04-30 00:00:00,40.542857142857144,Fear
2024-05-01 00:00:00,40.51428571428572,Fear
2024-05-02 00:00:00,42.228571428571435,Fear
2024-05-03 00:00:00,43.25714285714286,Fear
2024-05-06 00:00:00,39.0,Fear
2024-05-07 00:00:00,37.17142857142858,Fear
2024-05-08 00:00:00,38.17142857142857,Fear
2024-05-09 00:00:00,42.228571428571435,Fear
2024-05-10 00:00:00,46.028571428571425,Fear
2024-05-13 00:00:00,48.114285714285714,Fear
2024-05-14 00:00:00,55.285714285714285,Greed
2024-05-15 00:00:00,59.371428571428574,Greed
2024-05-16 00:00:00,62.31428571428573,Greed
2024-05-17 00:00:00,62.8,Greed
2024-05-20 00:00:00,60.42857142857143,Greed
2024-05-21 00:00:00,59.42857142857143,Greed
2024-05-22 00:00:00,58.51428571428572,Greed
2024-05-23 00:00:00,52.37142857142857,Greed
2024-05-24 00:00:00,51.74285714285714,Greed
2024-05-28 00:00:00,54.68571428571427,Greed
2024-05-29 00:00:00,49.971428571428575,Fear
2024-05-30 00:00:00,45.08571428571429,Fear
2024-05-31 00:00:00,48.42857142857144,Fear
2024-06-03 00:00:00,45.48571428571429,Fear
2024-06-04 00:00:00,47.628571428571426,Fear
2024-06-05 00:00:00,51.142857142857146,Greed
2024-06-06 00:00:00,45.31428571428571,Fear
2024-06-07 00:00:00,43.4,Fear
2024-06-10 00:00:00,44.74285714285715,Fear
2024-06-11 00:00:00,44.4,Fear
2024-06-12 00:00:00,46.57142857142857,Fear
2024-06-13 00:00:00,44.57142857142858,Fear
2024-06-14 00:00:00,41.11428571428572,Fear
2024-06-17 00:00:00,43.285714285714285,Fear
2024-06-18 00:00:00,41.28571428571429,Fear
2024-06-20 00:00:00,38.714285714285715,Fear
2024-06-21 00:00:00,39.05714285714286,Fear
2024-06-24 00:00:00,37.77142857142858,Fear
2024-06-25 00:00:00,37.285714285714285,Fear
2024-06-26 00:00:00,40.88571428571429,Fear
2024-06-27 00:00:00,45.51428571428571,Fear
2024-06-28 00:00:00,44.31428571428571,Fear
2024-07-01 00:00:00,47.94285714285714,Fear
2024-07-02 00:00:00,49.74285714285714,Fear
2024-07-03 00:00:00,48.371428571428574,Fear
2024-07-05 00:00:00,49.714285714285715,Fear
2024-07-08 00:00:00,51.057142857142864,Greed
2024-07-09 00:00:00,50.57142857142856,Greed
2024-07-10 00:00:00,54.60000000000001,Greed
2024-07-11 00:00:00,49.4,Fear
2024-07-12 00:00:00,54.371428571428574,Greed
2024-07-15 00:00:00,57.74285714285715,Greed
2024-07-16 00:00:00,57.02857142857143,Greed
2024-07-17 00:00:00,46.114285714285714,Fear
2024-07-18 00:00:00,45.94285714285714,Fear
2024-07-19 00:00:00,43.0,Fear
2024-07-22 00:00:00,48.42857142857144,Fear
2024-07-23 00:00:00,46.857142857142854,Fear
2024-07-24 00:00:00,38.614285714285714,Fear
2024-07-25 00:00:00,39.07142857142857,Fear
2024-07-26 00:00:00,42.542857142857144,Fear
2024-07-29 00:00:00,42.07142857142857,Fear
2024-07-30 00:00:00,40.8,Fear
2024-07-31 00:00:00,46.885714285714286,Fear
2024-08-01 00:00:00,32.4137432188065,Fear
2024-08-02 00:00:00,27.2,Fear
2024-08-05 00:00:00,16.573897707231,Extreme Fear
2024-08-06 00:00:00,23.6836236933798,Extreme Fear
2024-08-07 00:00:00,19.7593803786575,Extreme Fear
2024-08-08 00:00:00,23.952380952381,Extreme Fear
2024-08-09 00:00:00,23.4571428571429,Extreme Fear
2024-08-12 00:00:00,21.9428571428571,Extreme Fear
2024-08-13 00:00:00,25.0857142857143,Fear
2024-08-14 00:00:00,27.6,Fear
2024-08-15 00:00:00,33.1142857142857,Fear
2024-08-16 00:00:00,35.4285714285714,Fear
2024-08-19 00:00:00,46.9428571428571,Fear
2024-08-20 00:00:00,47.2857142857143,Fear
2024-08-21 00:00:00,51.7428571428571,Greed
2024-08-22 00:00:00,48.4,Fear
2024-08-23 00:00:00,54.8285714285714,Greed
2024-08-26 00:00:00,43.6285714285714,Fear
2024-08-27 00:00:00,55.0,Greed
2024-08-28 00:00:00,56.2285714285714,Greed
2024-08-29 00:00:00,60.1142857142857,Greed
2024-08-30 00:00:00,62.9714285714286,Greed
2024-09-03 00:00:00,54.1428571428571,Greed
2024-09-04 00:00:00,49.7428571428571,Fear
2024-09-05 00:00:00,47.5714285714286,Fear
2024-09-06 00:00:00,39.2571428571429,Fear
2024-09-09 00:00:00,40.8857142857143,Fear
2024-09-10 00:00:00,38.4571428571429,Fear
2024-09-11 00:00:00,39.0857142857143,Fear
2024-09-12 00:00:00,44.8,Fear
2024-09-13 00:00:00,47.4857142857143,Fear
2024-09-16 00:00:00,54.0857142857143,Greed
2024-09-17 00:00:00,55.8857142857143,Greed
2024-09-18 00:00:00,60.8285714285714,Greed
2024-09-19 00:00:00,65.0857142857143,Greed
2024-09-20 00:00:00,63.8571428571429,Greed
2024-09-23 00:00:00,65.0571428571429,Greed
2024-09-24 00:00:00,66.4857142857143,Greed
2024-09-25 00:00:00,67.0857142857143,Greed
2024-09-26 00:00:00,68.8285714285714,Greed
2024-09-27 00:00:00,72.7714285714286,Greed
2024-09-30 00:00:00,73.5142857142857,Greed
2024-10-01 00:00:00,67.8285714285714,Greed
2024-10-02 00:00:00,69.9142857142857,Greed
2024-10-03 00:00:00,71.0857142857143,Greed
2024-10-04 00:00:00,73.6,Greed
2024-10-07 00:00:00,69.4285714285714,Greed
2024-10-08 00:00:00,70.6,Greed
2024-10-09 00:00:00,71.4285714285714,Greed
2024-10-10 00:00:00,69.0857142857143,Greed
2024-10-11 00:00:00,74.6285714285714,Greed
2024-10-14 00:00:00,75.0857142857143,Extreme Greed
2024-10-15 00:00:00,66.9428571428572,Greed
2024-10-16 00:00:00,69.4571428571429,Greed
2024-10-17 00:00:00,70.7714285714286,Greed
2024-10-18 00:00:00,74.6857142857143,Greed
2024-10-21 00:00:00,70.3142857142857,Greed
2024-10-22 00:00:00,67.9142857142857,Greed
2024-10-23 00:00:00,62.2857142857143,Greed
2024-10-24 00:00:00,61.5142857142857,Greed
2024-10-25 00:00:00,60.8,Greed
2024-10-28 00:00:00,60.9142857142857,Greed
2024-10-29 00:00:00,57.7142857142857,Greed
2024-10-30 00:00:00,54.0,Greed
2024-10-31 00:00:00,46.5274725274725,Fear
2024-11-01 00:00:00,44.4901098901099,Fear
2024-11-04 00:00:00,41.2,Fear
2024-11-05 00:00:00,47.9428571428571,Fear
2024-11-06 00:00:00,58.2,Greed
2024-11-07 00:00:00,58.6,Greed
2024-11-08 00:00:00,62.6571428571429,Greed
2024-11-11 00:00:00,68.6,Greed
2024-11-12 00:00:00,66.5142857142857,Greed
2024-11-13 00:00:00,65.8285714285714,Greed
2024-11-14 00:00:00,58.2,Greed
2024-11-15 00:00:00,51.0571428571429,Greed
2024-11-18 00:00:00,49.8857142857143,Fear
2024-11-19 00:00:00,49.9428571428571,Fear
2024-11-20 00:00:00,49.6,Fear
2024-11-21 00:00:00,57.7428571428571,Greed
2024-11-22 00:00:00,60.7714285714286,Greed
2024-11-25 00:00:00,64.2285714285714,Greed
2024-11-26 00:00:00,66.0571428571429,Greed
2024-11-27 00:00:00,63.8857142857143,Greed
2024-11-28 00:00:00,63.7428571428571,Greed
2024-11-29 00:00:00,67.0571428571428,Greed
2024-12-02 00:00:00,66.5714285714286,Greed
2024-12-02 23:59:47,66.5714285714286,Greed
